Brand,Series,,,Wattages,Tier,Year,,Size,ATX Ver.,Input Range,Modularity,Efficiency,Topology,,,ODM,Platform Code,Notes
,,,Titanium III,1600W,A*,2024,,ATX,ATX 3.x,Full,Full,T,LLC,SR,DC-DC,Wentai,,"Totem pole PFC, ROG logo imprinted on fan grille. 2x 12V-2x6. OTP not tested, SCP not tested but supervisor IC supports it."
,,Strix,Aura Gold,750-1200W,A-,2022,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,OPP is set way higher than necessary and isn't reduced even under high operating temperatures. Very poor 200% excursion response.
,,,Gold,550-850W,A,2020,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Seasonic,Focus Gold,650W has poor 3.3V transient response
,,,Platinum,850W,A,2024,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Great Wall,Custom,"5VSB OCP set high, poor 3.3V transient response in the 200% excursion"
,,,,1000W,A,2024,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Great Wall,Custom,Much better performance than the 1200W model and fewer issues despite using the same platform. 5VSB OCP set high.
,,,,1200W,B+,2024,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Great Wall,Custom,"Multitude of minor issues leading to low overall performance, does not meet requirements for tier A in Aris' testing. Possible bad sample?"
,TUF,,Gold,750-1200W,B,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Great Wall,Hunters Fire,12VHPWR to dual PCIE cable as well as a native 12VHPWR cable.
,,,Bronze,450-750W,B,2022,,ATX,ATX 2.x,Full,No,B,LLC,SR,DC-DC,Great Wall,Modified GW-ATXBL,Mediocre transient response and low quality caps.
,,,,,,,,,,,,,,,,,,
AZZA,PSAZ,ARGB Bronze,New,550/650/750W,C-,2024,,ATX,ATX 2.x,Full,No,B,DF,SR,DMA,Helly,ATX-0600B,"2 year warranty. 540W, 648W, & 744W on 12V respectively."
,,,New (230V),550/650/750W,C-,2024,,ATX,ATX 2.x,230V,No,B,DF,SR,DMA,Helly,ATX-0600B,Cost-down full input new PSAZ Bronze w/ ARGB fan.
,,,Old,550/650W,E,2020,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,Andyson,M5,2 year warranty. 492W & 576W on 12V respectively.
,,Bronze,New,550/650/750W,C-,2024,,ATX,ATX 2.x,Full,No,B,DF,SSR,DMA,Helly,AD-0800K,"2 year warranty. PSAZ Bronze w/ ARGB fan. 550W: 540W on 12V, 650W: 648W on 12V, 750W: 744W on 12V."
,,,New (230V),550/650/750W,C-,2024,,ATX,ATX 2.x,230V,No,B,DF,SSR,DMA,Helly,AD-0800K,Cost-down full input new PSAZ Bronze.
,,,Old,650W,E,2020,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,Andyson,M5,2 year warranty. PSAZ Bronze w/ARGB fan. 650W: 576W on 12v.
,,Gold,-,750/850W,C+,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Helly,ATX-0500GQ,"2 year warranty (likely due to a poor quality sleeve bearing fan); No OTP claimed, but platform is otherwise reasonably capable."
,,,ATX 3.0,750W,C+,2021,,ATX,ATX 3.x,Full,No,G,LLC,SR,DC-DC,Helly,ATX-0500GQ,2 year warranty (likely due to a poor quality sleeve bearing fan); platform is otherwise reasonably capable.
,,,,850W,C+,2021,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Helly,ATX-0500GQ,2 year warranty (likely due to a poor quality sleeve bearing fan); platform is otherwise reasonably capable.
,,,ATX 3.1,1000W,B-,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Helly,ATX-0800GB,"Ball bearing fan. No warranty period mentioned, detier to B-."
,,Platinum ATX 3.1,,1000W,B-*,2024,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Helly,EPS-0100,"Limited internal shots, unable to identify what changes, if any, were made to the platform. No warranty period mentioned, detier to B-."
,,,,,,,,,,,,,,,,,,
be quiet!,Dark Power,-,12,750/850/1000W,A,2021,,ATX,ATX 2.x,Full,Full,T,LLC,SR,DC-DC,FSP,Custom,
,,,13,750/850/1000W,A,2023,,ATX,ATX 3.x,Full,Full,T,LLC,SR,DC-DC,FSP,Custom,"Bridgeless PFC, OCP needs tuning on all rails"
,,Pro,11,550/650/750W,A+,2015,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,FSP,Custom,
,,,,850-1200W,A+,2015,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,FSP,Custom,
,,,12,1200/1500W,A+,2020,,ATX,ATX 2.x,Full,Full,T,LLC,SR,DC-DC,CWT,Modified CTT,"Interleaved PFC; digital operation for primary, APFC and 12V; minor rails are analog."
,,,13,1300/1600W,A+,2023,,ATX,ATX 3.x,Full,Full,T,LLC,SR,DC-DC,CWT,CST,"Interleaved PFC; digital operation for primary, APFC and 12V; minor rails are analog."
,Power Zone 2,,,750/850/1000W,B+,2025,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,FSP,Custom,First be quiet! PSU with semi-passive operation.
,Pure Power,,10,400-700W,B-,2016,,ATX,ATX 2.x,Full,No,S,ACRF,SR,DC-DC,FSP,Heavily modified Raider,"Non modular variant of the Pure Power 10 CM, virtually identical."
,,,10 CM,400-700W,B-,2016,,ATX,ATX 2.x,Full,Semi,S,ACRF,SR,DC-DC,FSP,Heavily modified Raider,"Weak 3.3V transient response, mediocre electrical performance, and claimed rifle bearing but yet to be proven."
,,,11,300/350W,D-,2018,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,FSP,EPN,
,,,,400-700W,B,2018,,ATX,ATX 2.x,Full,No,G,ACRF,SR,DC-DC,FSP,Heavily modified Raider,
,,,11 CM,400-700W,B,2018,,ATX,ATX 2.x,Full,Semi,G,ACRF,SR,DC-DC,FSP,Heavily modified Raider,
,,,11 FM,550/650/750W,B+,2018,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,
,,,,850/1000W,A,2018,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,HEC,Custom,
,,,12,550-1000W,B*,2023,,ATX,ATX 3.x,Full,No,G,LLC,SR,DC-DC,CWT,Custom,"85C bulk caps, rifle bearing fan, non-modular."
,,,12 M,550-1200W,A,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,HEC,Custom,Not to be confused with the non-modular Pure Power 12.
,,,13 M,550/650W,B+,2025,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,FSP,Custom,"85C bulk caps, excellent noise profile."
,,,,750/850W,A,2025,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,FSP,Custom,Excellent noise profile.
,,,,1000W,A-,2025,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,FSP,Custom,Poor excursion response in the 200% excursion test; platform is being pushed close to its limits. Excellent noise profile.
,SFX-L Power,,,500/600W,B,2017,,SFX-L,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,High Power,Custom,Custom be quiet! rifle bearing fan.
,SFX Power 3,,,300/450W,C,2021,,SFX,ATX 2.x,Full,No,B,DF,SR,DC-DC,FSP,FSP-50SAC,
,Straight Power,11,Gold,450/550/650W,A,2018,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,FSP,Custom,
,,,,750-1000W,A,2018,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,FSP,Custom,
,,,Platinum,550/650/750W,A,2018,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,FSP,Custom,
,,,,850-1200W,A,2018,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,FSP,Hydro PTM Pro high-wattage,
,,12,,750-1000W,A*,2024,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,FSP,Custom,"160mm length; no Cybenetics entry. Needs transient response testing, OTP listed as pass but no results showed."
,,,,1200/1500W,A+*,2023,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,FSP,Custom,180mm length; needs transient response testing.
,System Power,9,-,400-700W,C-,2018,,ATX,ATX 2.x,230V,No,B,DF,PR,DC-DC,HEC,CM Masterwatt-ish,
,,,CM,400-700W,C-,2018,,ATX,ATX 2.x,230V,Semi,B,DF,PR,DC-DC,HEC,CM Masterwatt-ish,
,,10,Bronze,450-750W,E,2022,,ATX,ATX 2.x,230V,No,B,DF,PR,DC-DC,HEC,,"Terrible ripple suppression, especially on 12V (well over 100mV under full load), OCP is not set properly, low efficiency, low quality fan."
,,,Gold,850W,C+,2022,,ATX,ATX 2.x,230V,No,G,LLC,SR,DC-DC,HEC,,
,,,U,550-750W,E,2023,,ATX,ATX 2.x,Full,No,B,DF,PR,DC-DC,HEC,,"Looks exactly the same as the regular System Power 10 internally. Unless later testing proves the above issues are not present, detier to E."
,,B9,,300/350W,E,2018,,ATX,ATX 2.x,230V,No,B,DF,PR,GR,HEC?,,
,,,,450/600W,C*,2018,,ATX,ATX 2.x,230V,No,B,DF,PR,DC-DC,HEC?,,
,,U9,,400/500/600W,C,2019,,ATX,ATX 2.x,Full,No,B,DF,PR,DC-DC,CWT,GPN,
,,,,700W,C,2019,,ATX,ATX 2.x,Full,No,B,DF,SSR,DC-DC,CWT,GPN,
,,,,,,,,,,,,,,,,,,
Bitfenix,BFG,,Gold,550/650W,B,2023,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPX,
,,,Gold ATX 3.0,750/850W,B+*,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPX ATX 3.0,Guess based on internal shots provided on product page. Reviews will need to confirm platform.
,,,,1000/1200W,A*,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,CWT,CSZ,Guess based on internal shots provided on product page. Reviews will need to confirm platform.
,BPA,,,400/500/600W,E,2015,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,CWT,GPM,
,BPA-U,,,400/500/600W,E,2015,,ATX,ATX 2.x,Full,No,W,DF,PR,GR,CWT,GPM,
,Formula,,Gold,450-750W,A,2017,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,CWT,Modified GPS,"Design modified for multiple 12V rails: 3 on ≤550W, 4 on ≥650W"
,,,Bronze,400-700W,C,2016,,ATX,ATX 2.x,Full,No,B,DF,SSR,DC-DC,CWT,Modified CSB,
,Whisper M,,,450-850W,A,2016,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPU,
,,,,,,,,,,,,,,,,,,
Chieftec/Chieftronic,A-80,,CTG-80P (Old),450/500W,E,2010,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,High Power,NO-703,"""85% 230V only"", ketchup and mustard cables. Outdated and no official 80+ certification, only on the tier list since it's still on their website."
,,,,550W,E,2010,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,High Power,,
,,,,650W,E,2010,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,High Power,NO-761,
,,,CTG-C (New),550/650/750W,E,2012,,ATX,ATX 2.x,230V,Semi,N,DF,PR,DMA,High Power,NO-720A,
,A-90,,GDP-C,550/650/750W,C-,2015,,ATX,ATX 2.x,230V,Semi,N,DF,SR,DC-DC,CWT,GPN,"""90% 230V only"", claims meeting 80+ Gold without certifying. No direct transient response testing but platform is well reviewed."
,Atmos,,CPX-FC,750/850W,A-,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Andyson,PAD35,Platform is well reviewed although no direct transient response data.
,Compact (SFX),,CSN-C,450/550/650W,C-,2016,,SFX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,CSN,"Platform is somewhat mediocre, no direct transient response testing available and not the best choice of capacitors."
,Core,,BBS-S,500/600/700W,C+,2016,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,CWT,GPS,
,Eco,,GPE-S,400-700W,F,2016,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,CWT,GPE?,"""85% 230V only"", ketchup and mustard cables, not independently regulated. Doesn't have OCP according to this review."
,Element,,ELP-S,350-700W,F,2017,,ATX,ATX 2.x,230V,No,B,DF,PR,GR,CWT,GPM,Doesn't claim OCP.
,Eon,,ZPU-S,400-700W,E,2023,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,Andyson,Z8,Voltage regulation is out of ATX specifications on the minor rails; also not independently regulated.
,I-Arena (OEM/SI),,GPA-S,550-700W,F,2011,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,CWT,GPA?,"Fake 85% efficiency label, black on yellow label; it's also old. Not certain on topology but not recommendable regardless. See review here. No OCP."
,,,GPA-S8,350-500W,F,2011,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,CWT,GPA?,Yellow on black label; no 80+ certification and aging. Not certain on topology but not recommendable regardless. See review here. No OCP.
,,,GPB-S,350-500W,F,2020,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,CWT,GPB,Blue label. No OCP.
,,,GPC-S,400-700W,F,2016,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,CWT,GPC?,"Fake 80+ 230V only certification label, ketchup and mustard cables, not independently regulated. White label."
,Navitas,,GPM-C,650/750/850W,E,2012,,ATX,ATX 2.x,Full,Semi,G,DF,SSR,DC-DC,CWT,PUQ,Electrical performance is decent (although no transient response data) but simply not recommendable due to age.
,,,,1000W,C*,2013,,ATX,ATX 2.x,Full,Semi,G,LLC,SSR,DC-DC,CWT,CSH-VG,No transient response data available.
,,,,1250W,E,2011,,ATX,ATX 2.x,Full,Semi,G,LLC,SSR,DC-DC,CWT,PUO,Only basic voltage regulation found here. Not recommendable due to age; only kept for legacy purposes (still on website.)
,,,PPS-FC,1350/1450W,C*,2018,,ATX,ATX 2.x,Full,Semi,G,LLC,SSR,DC-DC,CWT,PUO,No performance data available.
,Photon,Bronze,CTG-C-RGB,650/750W,E,2019,,ATX,ATX 2.x,230V,Semi,N,DF,PR,GR,High Power,NO-761,Not to be mistaken with the Proton (BDF-S/-C) Bronze.
,,Gold,GDP-C-RGB,650/750W,F,2019,,ATX,ATX 2.x,230V,Semi,N,DF,SR,DC-DC,CWT,GPN,Protections don't kick in nearly in time before the voltage on the minor rails falls out of spec under ~108% overload.
,Polaris,-,PPS-FC,550/650/750W,B-,2019,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,High Power,NO-817,"Both EPS connectors share a cable, poor regulation and transient response on minor rails; only a 2 year warranty."
,,,,850/1050/1250W,B-,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,High Power,NO-815,Decent electrical performance but OTP is either not present or set too high (>200°C ) which is useless. See testing here. 2 year warranty.
,,ATX 3.0,PPS-FC-A3,850/1050/1250W,B-,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,High Power,NO-815,Fundamentally a Polaris ATX 3.0 refresh. Load regulation is somewhat subpar on the 1050W model.
,,Pro,PPX-FC-A3,1300W,A*,2023,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,High Power,NO-826,Little to no electrical performance data + nothing regarding protections; however platform is well reviewed.
,Proton,,BDF-S,400/500/600W,C-,2017,,ATX,ATX 2.x,Full,No,B,DF,SR,DC-DC,High Power,NO-799,"Sleeve bearing fan, during OPP testing at around 30% of the 500W model do the minor rail falls out of ATX specification."
,,,BDF-C,650/750W,C-,2011,,ATX,ATX 2.x,Full,Full,B,DF,PR,DC-DC,High Power,NO-790,"Receives a ""-"" subtier due to its age. Only kept for legacy purposes as it is still listed on Chieftec's website."
,,,,850/1000W,C-,2014,,ATX,ATX 2.x,Full,Full,B,DF,SR,DC-DC,High Power,NO-768,"OPP is functional but offers only a 7% increase over the nominal value, beyond which the rails fall out of ATX spec for the 1000W model."
,PowerPlay (GPU-FC),,Gold,550/650/750W,A+,2020,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPR,
,,,Platinum,850/1050/1200W,A+,2020,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,CWT,CST,Semi-digital
,PowerUp,,,750/850W,B-,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPX,"A few samples of the base platform died when subjected to sub-90VAC stress tests per JonnyGuru. Proceed with caution under 120VAC, especially in areas prone to brownouts."
,,,,550/650W,B,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPX,
,Silicon,,,650/750W,C-,2018,,ATX,ATX 2.x,Full,Full,B,DF,PR,DC-DC,High Power,NO-790,
,,,,850/1000W,C-,2018,,ATX,ATX 2.x,Full,Full,B,DF,SR,DC-DC,High Power,NO-768,
,Smart,,GPS-A8,350-500W,E,2014,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,CWT,GPA,
,,,,550-700W,E,2014,,ATX,ATX 2.x,230V,No,,DF,PR,GR,CWT,GPM,
,,,GPS-C,450-750W,C,2016,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,CWT,GPS,
,,,BFX-BS,350/450W,C-,2021,,SFX,ATX 2.x,Full,No,B,DF,PR,DC-DC,CWT,GPH-M,
,,,SFX-BS,350/450W,E,2014,,SFX,ATX 2.x,230V,No,W,DF,PR,GR,High Power,NO-754,
,,,SFX-GDC,500W,C,2015,,SFX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,High Power,NO-770,
,SteelPower,,BDK-FC,550/650/750W,C,2021,,ATX,ATX 2.x,Full,Full,B,LLC,SR,DC-DC,CWT,GPQ,
,Task,,TPS-S,400-700W,E,2017,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,CWT,GPM,
,Value,,APB-B8,400-700W,E,2016,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,CWT,GPA,
,Vega,Non-Modular,PPG-S,750/850W,B+,2024,,ATX,ATX 3.x,Full,No,G,LLC,SR,DC-DC,High Power,NO-832D,
,,Modular (M),PPG-C,750/850W,B+,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,High Power,NO-832D,
,Vita,,BPX-S,750/850W,C-,2024,,ATX,ATX 2.x,Full,No,B,DF,SSR,DC-DC,Andyson,P37,
,,,,,,,,,,,,,,,,,,
Cooler Master,B V2,,,400-700W,E,2015,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,CWT,GPM,Not 100% sure on platform
,Elite,,V3,300-600W,E,2019,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,Hui Cheng,,
,,,V4,300-600W,E,2021,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,Hui Cheng,Elite V3 (upd. to 80+ White),
,Elite NEX 230V,,,400-800W,E,2023,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,CWT,GPM,
,G,,Gold,500-800W,B-,2021,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,XHY,2008,
,,,Gold V2,550/650/750W,B,2024,,ATX,ATX 3.x,Full,No,G,LLC,SR,DC-DC,Gospower,G1208 mod. upd. to ATX 3.1,Platform is essentially a modified MWE Bronze V3.
,GX,"Bronze (MPX, 2020)",,450-650W,B+,2020,,ATX,ATX 2.x,Full,No,B,LLC,SR,DC-DC,Gospower,G1208,
,,Gold,Non-Mod.,550-850W,B+,2020,,ATX,ATX 2.x,Full,Semi,G,LLC,SR,DC-DC,XHY,1908,
,,,Full Mod.,550-850W,B+,2020,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,XHY,1908,
,,,,1050/1200W,B+,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,XHY,2012,
,,,V2 Full Mod.,1050/1250W,B+,2023,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,XHY,2012 upd. to ATX 3.0,
,,,ATX 3.0,1050/1250W,B+,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,XHY,2012 upd. to ATX 3.0,
,,,ATX 3.1,750-1250W,B+,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,XHY,2012 upd. to ATX 3.1,
,,CM Storm Edition,,650/750W,C,2016,,ATX,ATX 2.x,Full,No,B,DF,SSR,DC-DC,CWT,GPN,
,GX II Gold ATX 3.0,,,650-1250W,B+,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Lite-on,Custom,Very similar to the GX III that superseded it.
,GX III Gold ATX 3.1,,,650-1250W,B+,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Lite-on,Custom,"GX III ATX 3.0, but upd. to ATX 3.1. 1050W/1250W use Hong Hua FDB fan; 650-850W use Yate Loon rifle-bearing. Has purple heatsinks for glam."
,Hyper White,,,400/500/600W,E,2019,,ATX,ATX 2.x,Full,No,W,DF,PR,GR,Hui Cheng,Similar to Elite V4,Basically Elite V4 but full range
,M2000 Platinum,,,2000W,A,2022,,ATX,ATX 2.x,230V,Full,P,LLC,SR,DC-DC,Enhance,,Same platform as SilverStone HELA 2050 Platinum.
,Masterwatt,Bronze,,450-750W,C,2017,,ATX,ATX 2.x,Full,Semi,B,DF,SR,DC-DC,HEC,,
,,TUF Gaming,,450-750W,C,2018,,ATX,ATX 2.x,Full,Semi,B,DF,SR,DC-DC,HEC,,Identical internally to the MasterWatt Bronze. Only difference is the exterior appearance.
,,Lite / Lite Full Modular,,400-700W,F,2016,,ATX,ATX 2.x,Full,No,W,DF,PR,GR,Enhance,,Complete e-waste. Extremely poor build and component quality all around.
,,Maker,,1200/1500W,B+,2016,,ATX,ATX 2.x,Full,Full,T,LLC,SR,DC-DC,Enhance,Custom,
,,Maker MiJ,,1200W,A,2017,,ATX,ATX 2.x,Full,Full,T,LLC,SR,DC-DC,Murata,Custom,Extremely high build quality; made in Japan; decent performance.
,MWE,,White,400-550W,D-,2019,,ATX,ATX 2.x,Full,No,W,DF,PR,GR,CWT,GPB,
,,,230V White,400-550W,D-,2019,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,CWT,GPB,
,,,Bronze,450/500/550W,D-,2019,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,HEC,,
,,,,600/650W,C,2019,,ATX,ATX 2.x,Full,No,B,DF,SSR,DC-DC,HEC,,
,,,230V Bronze,450/500/550W,D-,2019,,ATX,ATX 2.x,230V,No,B,DF,PR,GR,HEC,,
,,,,600/650W,C,2019,,ATX,ATX 2.x,230V,No,B,DF,SSR,DC-DC,HEC,,
,,,Gold Non Mod.,550-850W,B,2019,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,XHY,1408,
,,,Gold Modular,550-850W,B,2019,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,XHY,1408,
,MWE V2,,White,450-750W,B,2021,,ATX,ATX 2.x,Full,No,W,LLC,SR,DC-DC,Gospower,G1208,
,,,230V White,450-750W,C,2021,,ATX,ATX 2.x,230V,No,W,LLC,SR,DC-DC,Gospower,G1208,
,,,Bronze,450-750W,B,2021,,ATX,ATX 2.x,Full,No,B,LLC,SR,DC-DC,Gospower,G1208,
,,,230V Bronze,450-750W,C,2021,,ATX,ATX 2.x,230V,No,B,LLC,SR,DC-DC,Gospower,G1208,
,,,Gold Non Mod.,550-850W,B+,2021,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,XHY,1908,
,,,Gold Full Mod.,550-850W,B+,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,XHY,1908,
,,,,1050/1250W,B+,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,XHY,2012,
,,,Gold ATX 3.0,550-850W,B+,2023,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,XHY,1908 upd. to ATX 3.0,
,,,,1050/1250W,B+,2023,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,XHY,2012 upd. to ATX 3.0,
,,,Gold ATX 3.1,550-850W,B+,2024,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,XHY,1908 upd. to ATX 3.1,
,,,,1050/1250W,B+,2024,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,XHY,2012 upd. to ATX 3.1,
,MWE V3 ATX 3.1,,230V Bronze,550/650W,C,2024,,ATX,ATX 2.x,230V,No,B,LLC,SR,DC-DC,Gospower,G1208 upd. to ATX 3.1,"Basically G1208 updated to ATX 3.1, no 12VHPWR."
,,,,750W,C-,2024,,ATX,ATX 2.x,230V,No,B,LLC,SR,DC-DC,Gospower,G1208 upd. to ATX 3.1,Basically G1208 updated to ATX 3.1; broke during 5V SCP. Possible bad sample? No 12VHPWR.
,,,Bronze,550/650/750W,B,2024,,ATX,ATX 3.x,Full,No,B,LLC,SR,DC-DC,Gospower,G1208 upd. to ATX 3.1,Basically G1208 updated to ATX 3.1
,,,Gold Modular,750/850W,B+,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Lite-on,Custom (modified GX III),"GX III w/ upgraded fan (Hong Hua FDB, Yate Loon DBB); no inrush protection (MOV and bypass relay). Ball bearing fans possibly region-specific."
,,,Gold Non-Mod.,550/650W,B,2024,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,Gospower,G1208 mod. upd. to ATX 3.1,"Modified MWE Bronze V3, same as G Gold V2."
,,,,750/850W,B,2024,,ATX,ATX 3.x,Full,No,G,LLC,SR,DC-DC,Gospower,G1208 mod. upd. to ATX 3.1,"Modified MWE Bronze V3, same as G Gold V2."
,Reactor Gold,,,750/850W,B+,2019,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,XHY,1408,Same as MWE Gold non-modular
,"V-Series
""Vanguard""",Gold,V1 (2018),550/650W,B+,2018,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Chicony,Custom,"Review sample had 18AWG cables, CM claimed retail units would ship with 16AWG as advertised."
,,,,750/850W,B+,2018,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Chicony,"Custom, but different from ^",
,,,V2,550-850W,A+,2020,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Gospower,G1242,"White model available, same internals."
,,,"i Multi (""Digital"")",550-850W,A+,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Chicony,Custom,"""Semi-digital"" - offers digital fan control and monitoring via MasterPlus software; actual components are analog."
,,,SFX,650/750/850W,A,2020,,SFX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Gospower,G1278,
,,,SFX ATX 3.0,750/850W,A,2023,,SFX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Gospower,G1555 (1278 upd. to ATX 3.0),Basically G1278 updated to ATX 3.0
,,,SFX ATX 3.1,750/850W,A,2024,,SFX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Gospower,G1555 rev. 2,Still essentially G1278 with further updates to ATX 3.1
,,Platinum,Standard,850-1300W,A,2019,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Delta,GM,Single/multi-rail switchable.
,,,30th Anniversary,1300W,A,2023,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Delta,GM,"No internal changes, but 1300W only."
,,,V2,1100/1300/1600W,A-,2024,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Gospower,G1398 (Custom),"One review showed ripple on the 12V rail at 62mV for the 1600W, other samples were within 50mV. 5VSB OCP is set high."
,,,SFX ATX 3.0,1100W,B+,2022,,SFX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Sysgration,Custom,
,,,,1300W,B-,2022,,SFX,ATX 3.x,230V,Full,P,LLC,SR,DC-DC,Sysgration,Custom,230V input only
